id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54441866,54441866,(2024 JA15),25.03,0.0262153087,0.0586192124,False,2024-05-08,53306.841954339,0.0068812169,1029415.391248003,2.6767933741,Earth
54455374,54455374,(2024 MP1),20.38,0.2231284644,0.4989304142,False,2024-05-08,63371.7169089876,0.4353217271,65123203.13888127,169.3401518419,Earth
2387816,2387816,387816 (2004 FM17),19.36,0.3569069267,0.7980681497,False,2024-05-09,34851.6285887689,0.1439797442,21539063.055464853,56.0081204938,Earth
2409266,2409266,409266 (2004 RK9),21.29,0.1467421834,0.3281254972,False,2024-05-09,64818.3790527174,0.4425313085,66201741.15991289,172.1446790065,Earth
3409624,3409624,(2008 HH),21.99,0.1063053145,0.2377059096,True,2024-05-09,60417.32395833,0.2897378611,43344166.878915854,112.7080279679,Earth
3616696,3616696,(2012 VM6),25.31,0.0230438467,0.0515276076,False,2024-05-09,13059.9812435024,0.1789084986,26764330.31545798,69.5954059554,Earth
3672293,3672293,(2014 KX21),25.52,0.0209196771,0.04677782,False,2024-05-09,24488.3225005917,0.0678437271,10149277.067021277,26.3912098419,Earth
3728574,3728574,(2015 SZ2),25.4,0.022108281,0.0494356193,False,2024-05-09,29378.4449715825,0.4732107393,70791318.6604053,184.0789775877,Earth
3754328,3754328,(2016 MH),22.14,0.0992098919,0.2218400624,False,2024-05-09,31476.4671901325,0.2643572681,39547284.22677895,102.8349772909,Earth
3757427,3757427,(2016 PL66),21.58,0.1283970296,0.2871044863,False,2024-05-09,16026.8041573348,0.2108267081,31539226.470871747,82.0115894509,Earth
3789684,3789684,(2017 WL15),25.85,0.0179702855,0.0401827799,False,2024-05-09,87324.3446584882,0.2651944363,39672522.80633068,103.1606357207,Earth
54017263,54017263,(2020 JU3),24.0,0.0421264611,0.0941976306,False,2024-05-09,88902.1279104509,0.4556951435,68171022.83694434,177.2654108215,Earth
54075301,54075301,(2020 UC1),24.7,0.0305179233,0.0682401509,False,2024-05-09,62980.9246853723,0.4746801443,71011138.51857264,184.6505761327,Earth
54076934,54076934,(2020 UW5),21.46,0.135692229,0.303417048,False,2024-05-09,74979.015648228,0.3203410551,47922339.51651264,124.6126704339,Earth
54100629,54100629,(2020 YN),27.7,0.0076657557,0.0171411509,False,2024-05-09,76292.3566100819,0.1928923709,28856287.825889982,75.0351322801,Earth
54134937,54134937,(2021 GV1),26.0,0.0167708462,0.0375007522,False,2024-05-09,50842.4545903648,0.2938015298,43952083.060821526,114.2887950922,Earth
54185132,54185132,(2021 PZ9),26.94,0.0108781483,0.0243242791,False,2024-05-09,21809.2838315864,0.2091655607,31290722.35807571,81.3654031123,Earth
54305658,54305658,(2022 SR4),25.69,0.0193443872,0.0432553648,False,2024-05-09,24561.3140577606,0.3417153654,51119890.8101117,132.9272771406,Earth
54403797,54403797,(2023 VZ3),26.54,0.0130784109,0.0292442157,False,2024-05-09,42465.2611762652,0.4003394168,59889924.03032222,155.7320331352,Earth
54418438,54418438,(2023 YR1),25.68,0.0194336768,0.0434550225,False,2024-05-09,33642.2904166228,0.4387472606,65635655.65409492,170.6726843734,Earth
54434082,54434082,(2024 GN5),25.23,0.0239086457,0.0534613571,False,2024-05-09,15525.1045228775,0.0702586157,10510539.257868558,27.3306015073,Earth
54436400,54436400,(2024 HH1),22.24,0.0947447113,0.2118556149,False,2024-05-09,52516.6532851392,0.2242559211,33548208.131448057,87.2355533079,Earth
54439429,54439429,(2024 JZ),23.52,0.052547853,0.1175005715,False,2024-05-09,90492.8064412428,0.0281504848,4211252.565547376,10.9505385872,Earth
54439711,54439711,(2024 JM1),25.67,0.0195233786,0.0436556017,False,2024-05-09,37281.9941512542,0.0280270867,4192792.472625329,10.9025367263,Earth
54439883,54439883,(2024 JU1),25.494,0.0211716632,0.0473412781,False,2024-05-09,24483.9490687043,0.0678262399,10146661.019149013,26.3844073211,Earth
54440302,54440302,(2024 HE5),23.98,0.0425162524,0.0950692305,False,2024-05-09,14909.6002753725,0.1391494803,20816465.864486963,54.1291478367,Earth
54440319,54440319,(2024 JN3),26.96,0.0107784169,0.0241012728,False,2024-05-09,46876.0806309917,0.0020114036,300901.694270332,0.7824360004,Earth
54440642,54440642,(2024 JR3),26.39,0.0140137697,0.0313357417,False,2024-05-09,68852.577963703,0.006101722,912804.61453214,2.373569858,Earth
54440644,54440644,(2024 JT3),29.13,0.0039678475,0.0088723768,False,2024-05-09,39159.3771644825,0.0001721467,25752.779647529,0.0669650663,Earth
54441096,54441096,(2024 JX8),27.12,0.010012787,0.0223892723,False,2024-05-09,25632.7164717411,0.021045855,3148415.08032885,8.186837595,Earth
54441684,54441684,(2024 JU14),25.66,0.0196134944,0.0438571068,False,2024-05-09,48487.432663697,0.030649106,4585040.97500422,11.922502234,Earth
54441869,54441869,(2024 JE15),26.78,0.0117099483,0.0261842403,False,2024-05-09,27080.0977206762,0.0097431923,1457560.815080401,3.7901018047,Earth
54485074,54485074,(2024 SA6),25.36,0.0225193047,0.050354696,False,2024-05-09,35636.1808491569,0.4351776846,65101654.6876918,169.2841193094,Earth
